全国统一安装工程施工仪器仪表台班费用-编码,全国统一安装工程施工仪器仪表台班费用-名称及规格型号,全国统一安装工程施工仪器仪表台班费用-单位,全国统一安装工程施工仪器仪表台班费用-单价
200212832950,电视频道场强电平表  CYW-B,台班,4.76
200212840050,三相电力测试仪  3191,台班,287.38
200212840100,三相电力测试仪  3192,台班,502.68
200212840150,单相电力测试仪  3187,台班,81.6
200212840200,交直流电力测试仪  3188,台班,172.75
200212840250,交直流电力测试仪  3189,台班,212.03
200212840300,全功能电力测试仪  3165,台班,160.45
200212840350,电流信号分析仪  SFX-1000,台班,12.89
200212840400,八道电力谐波分析仪  PA4400-4 谐波分析至99次，精度:0.1%,台班,210.24
200212840450,八道电力谐波分析仪  PA4400-4 配件OP-03，2～600A,台班,4.73
200212840500,八道电力谐波分析仪  PA4400-4 配件OP-04，20～1000A,台班,4.73
200212840550,八道电力谐波分析仪  PA4400-4 配件OP-023,台班,5.18
200212840600,八道电力谐波分析仪  PA4400 配件OP-05，IEEE-488接口,台班,6.93
200212840650,八道电力分析仪  PA4400-4,台班,172.92
200212840700,手持电力谐波测量仪  F40,台班,42.68
200212840750,手持电力谐波测量仪  F40 配件:1000A钳形电流互感器,台班,10.99
200212840800,电力综合分析仪  3195,台班,574.43
200212840850,三相电力分析仪  PA4000,台班,157.13
200212840900,单相电力谐波分析仪  PA2100,台班,58.82
200212840950,单相电力谐波分析仪  PA2200,台班,103.31
200212841000,三相电力谐波分析仪  PA4400,台班,194.1
200212841050,谐波分析仪  F41,台班,47.51
200212841100,各量程电压电流表,台班,20.42
200212841150,电力万用表示波器  THM565,台班,33.73
200212841200,静电高压表  ACL-300,台班,4.37
200212841250,便携电网监测分析仪  MEDP,台班,330.44
200212841300,现场测试包  3124,台班,32.62
200212841350,相位分析仪  SD1000,台班,88.78
200212841400,"相位分析仪  SD1000 选件OP-01,1～100A",台班,4.1
200212841450,"高精度相位分析仪  SD1000 选件OP-02,10～1000A互感器",台班,4.82
200212841500,"高精度相位分析仪  SD1000 选件OP-19,20A互感器",台班,3.92
200212841550,"高精度相位分析仪  SD1000 选件OP-20,40A互感器",台班,4.1
200212841600,"高精度相位分析仪  SD1000 选件OP-21,60A互感器",台班,4.82
200212841650,相移器  ragnar,台班,143.49
200212841700,相移器  TXSGA1/0.5,台班,4.82
200212841750,相序检测仪  3123,台班,4.26
200212841800,相角表  D31,台班,3.92
200212841850,高压合相仪  FRC,台班,4.85
200212841900,交直流钳形表  3265,台班,14.48
200212841950,数字交流钳形表  2002,台班,4.48
200212842000,数字交流钳形表  2002P,台班,5.13
200212842050,数字交/直流钳形表  2003,台班,10.51
200212842100,数字交/直流钳形表  2009,台班,11.36
200212842150,数字交/直流钳形表  2004,台班,8.78
200212842200,数字交流泄漏钳形表  2415,台班,9.0
200212842250,数字交流泄漏钳形表  2413F,台班,12.87
200212842300,数字交流泄漏钳形表  2414,台班,8.78
200212842350,微小电流漏电测试表  3263-01,台班,14.29
200212842400,钳形功率因素表  3266,台班,14.3
200212842450,单相功率测试仪  3186,台班,59.89
200212842500,单相功率测试仪  3181-01,台班,47.33
200212842550,三相功率测试仪  3184,台班,53.62
200212842600,三相功率测试仪  3185,台班,53.62
200212842650,三相钳形功率测试仪  3162,台班,58.64
200212842700,三相钳形功率测试仪  3161,台班,51.1
200212842750,钳形直流功率测试仪  3164,台班,6.0
200212842800,数字交流功率钳形表  2011,台班,32.62
200212842850,数字交流功率钳形表  2012,台班,32.62
200212842900,继电器保护测试仪  SVerKer750,台班,214.55
200212842950,继电器保护测试仪  HaraLD,台班,194.1
200212843000,继电器保护测试仪  JBC,台班,30.47
200212843050,继电器保护测试仪  MRT-02,台班,133.81
200212843100,继电器保护测试仪  JJC-B,台班,107.98
200212843150,继电器校验仪  RLC-50,台班,14.33
200212843200,兆欧表  3141,台班,6.35
200212843250,兆欧表  3301,台班,7.65
200212843300,兆欧表  3311,台班,9.24
200212843350,兆欧表  BM-206,台班,12.69
200212843400,兆欧表  ISOL1000,台班,27.32
200212843450,兆欧表  BM10,台班,36.59
200212843500,兆欧表  3113-21,台班,4.51
200212843550,兆欧表  BM12,台班,26.25
200212843600,高压兆欧表  BM11,台班,86.32
200212843650,高压兆欧表  3121,台班,15.28
200212843700,高压兆欧表  3122,台班,17.59
200212843750,高压兆欧表  3123,台班,24.52
200212843800,高压兆欧表  3124,台班,44.33
200212843850,高压兆欧表  BM14,台班,39.81
200212843900,高压兆欧表  ISOL5002,台班,54.89
200212843950,高压兆欧表  3007,台班,9.24
200212844000,高压兆欧表  3119-11,台班,11.61
200212844050,高压兆欧表  3005,台班,7.73
200212844100,绝缘测试仪  TAM600,台班,22.54
200212844150,耐压测试仪  YY2671,台班,5.37
200212844200,耐压测试仪  CJ2670,台班,5.79
200212844250,耐压测试仪  CJ2671,台班,7.09
200212844300,绝缘电阻测试仪  CLD-1B,台班,7.95
200212844350,高压绝缘电阻测试仪  3124,台班,39.81
200212844400,耐压绝缘测试仪  YY2672,台班,10.96
200212844450,接地电阻测试仪  GCT,台班,207.53
200212844500,接地电阻测试仪  3150,台班,10.56
200212844550,数字微量水分析仪  USTLA,台班,10.96
200212844600,接地电阻检测仪  4102,台班,8.17
200212844650,油微水分析仪  CKD-91021,台班,43.26
200212844700,接地电阻检测仪  ET6/3,台班,14.56
200212844750,绝缘液气体测试仪  KFM1000S,台班,192.67
200212844800,接地电阻检测仪  DET3/2,台班,36.37
200212844850,接地电阻检测仪  DET2/2,台班,84.17
200212844900,接触电阻检测仪  JZ,台班,150.91
200212844950,回路电阻仪  LD-Ⅰ,台班,42.24
200212845000,高压电桥  QS-37,台班,45.41
200212845050,高压绝缘电阻表  3122,台班,9.89
200212845100,电池型绝缘电阻表  3301,台班,4.38
200212845150,交流耐压设备  KZT,台班,12.86
200212845200,直流耐压设备  TDM1,台班,7.84
200212845250,交流电流电压标准源  JD2558,台班,64.92
200212845300,三相精密测试电源  JCD4060,台班,81.07
200212845350,工频稳压电源  SB861,台班,53.44
200212845400,电流源  CSU600A,台班,115.14
200212845450,电源  CSU600AT,台班,157.75
200212845500,大电流源系列  oden,台班,323.27
200212845550,电压电流互感升流器  YH-1,台班,7.68
200212845600,电压电流互感升流器  HJ12-E,台班,8.05
200212845650,便携式升流器  LSZ-12-24,台班,7.04
200212845700,升高变压器  Magnus,台班,146.73
200212845750,交流试验变压器  TSB-10/50,台班,24.82
200212845800,试验变压器  YD-5/50,台班,17.21
200212845850,高压试验变压器装置  YDJHJ12-E,台班,179.73
200212845900,高压硅整流硅堆滤波器,台班,10.02
200212845950,变压器电阻测试仪  JD2520,台班,50.57
200212846000,变比测试仪  ZBG-1,台班,20.42
200212846050,变比电桥  QJ33,台班,7.86
200212846100,直流高压试验器  KGS,台班,116.39
200212846150,标准电容分压器  YL,台班,163.59
200212846200,标准直流分压器  FJ-45,台班,125.91
200212846250,毫欧测量仪  3220,台班,21.09
200212846300,毫欧测量仪  3224,台班,49.93
200212846350,毫欧测试仪  3226,台班,40.67
200212846400,AC毫欧测量仪  3225,台班,68.66
200212846450,可编程微欧测试仪  QM21-1,台班,102.25
200212846500,微欧计  MOM200A,台班,195.04
200212846550,微欧计  MOM600A,台班,209.03
200212846600,数字微欧计  DM-100,台班,8.11
200212846650,精密电阻箱  ZX-54 精度0.01,台班,18.42
200212846700,标准电阻箱  ZX25a,台班,9.24
200212846750,精密电阻箱  ZX54,台班,6.23
200212846800,最佳阻容调节器  RCK,台班,6.65
200212846850,高精度相角表  PAM360,台班,86.45
200212846900,数显高压表  GYB-Ⅱ,台班,5.71
200212846950,综合高压测试装置  CZS系列,台班,56.31
200212847000,数字转速表,台班,21.86
200212847050,光电转速表,台班,8.21
200212847100,高压开关试验仪  SF6MWB,台班,129.51
200212847150,中频电机,台班,97.21
200212847200,数字电机转速表  3403,台班,16.8
200212847250,数字电机转速表  3404,台班,19.16
200212847300,模拟负载电阻装置,台班,6.36
200212847350,电网阻抗频谱分析仪  MZF,台班,493.34
200212847400,在线监测仪  8220,台班,43.17
200212847450,三相电压闪变监测仪,台班,316.81
200212847500,电能校验仪  ST9040,台班,49.84
200212847550,高压开关试验仪  CGK-890II,台班,6.78
200212847600,局部放电仪  MWB,台班,86.45
200212847650,调速系统动态测试仪  DT-1,台班,107.98
200212847700,气体检漏仪  LF-10,台班,6.78
200212847750,真空断路测试仪  Vidar,台班,184.62
200212847800,数字毫秒计  DM3-802H,台班,6.81
200212847850,数字毫秒计  4131C,台班,6.47
200212847900,多功能毫秒计  T850-1,台班,18.41
200212847950,电磁示振器,台班,71.61
200212848000,相位电压测试仪,台班,9.05
200212848050,绝缘电阻测试仪  BM12,台班,33.78
200212848100,火花检测仪,台班,21.53
200212848150,火灾探测器实验器BHTS-1,台班,20.17
200212850050,数字压力表  2654-24,台班,43.39
200212850100,数字压力表  2654-25,台班,47.7
200212850150,数字压力表  2654-26,台班,43.91
200212850200,数字压力表  2655-12,台班,42.7
200212850250,数字压力计  MT110,台班,126.71
200212850300,数字压力计  MT12,台班,151.04
200212850350,数字压力表  901B 精度0.05，压力:60kPa,台班,32.47
200212850400,数字压力表  901B 精度0.05，压力:160kPa,台班,38.65
200212850450,数字压力表  901B 精度0.05，压力:2.5kPa,台班,38.65
200212850500,数字压力表  YBS-WB 精度0.05，压力:0～60～160kPa,台班,20.13
200212850550,数字压力表  YBS-WB 精度0.05，压力:0～250kPa～25MPa,台班,21.39
200212850600,数字压力表  YBS-WB 精度0.05，压力:0～40MPa,台班,21.88
200212850650,数字压力表  YBS-WS 精度0.05，压力:0～600MPa,台班,20.4
200212850700,数字压力计  YMKT-500,台班,15.41
200212850750,数字压力计  YBS-Ⅱ,台班,16.9
200212850800,活塞式压力计  YU-25,台班,1.64
200212850850,活塞式压力计  YU-6,台班,4.64
200212850900,活塞式压力计  YU-60,台班,4.64
200212850950,活塞压力计  WU-2,台班,11.09
200212851000,活塞式压力计  YS-60,台班,9.37
200212851050,精密标准压力表  19A22,台班,36.94
200212851100,精密压力表  YBS-BⅠ,台班,17.07
200212851150,精密压力表  YBS-BⅡ,台班,12.38
200212851200,精密压力表  YBS-BⅢ,台班,16.76
200212851250,手提式数字压力表  DPI-601,台班,69.22
200212851300,浮球标准压力计  YJF,台班,14.54
200212851350,补偿式微压计  Pt100,台班,69.22
200212851400,补偿式微压计  DJM9,台班,9.37
200212851450,补偿式微压计  BWY,台班,6.36
200212851500,便携数字压力校验器  HDPI-2000A,台班,15.41
200212851550,标准气动压力发生器  2656-23,台班,91.42
200212851600,标准气动压力发生器  2656-24,台班,91.42
200212851650,标准差压发生器  PASHEN  SQJ,台班,6.61
200212851700,压力发生器  6919,台班,19.25
200212851750,压力校验器  2657,台班,43.39
200212851800,压力校验台  YD59,台班,10.89
200212851850,压力校验仪  1090,台班,26.17
200212851900,高压气动校验仪  1099PNC,台班,28.31
200212851950,气动压力校验台,台班,5.92
200212852000,数字压力校验仪  YSJ-02,台班,6.36
200212852050,气动压力源  2656256/F,台班,99.32
200212852100,空气式计器调整台  6923,台班,67.78
200212852150,压力回路校验器  1091-22,台班,34.02
200212852200,附压力组件,台班,120.89
200212852250,手操压力泵,台班,4.64
200212852300,数字温度计  2575-10,台班,18.55
200212852350,红外非接触式测温仪  506S,台班,27.24
200212852400,红外非接触式测温仪  5140L,台班,32.19
200212852450,红外非接触式测温仪  5140S,台班,32.19
200212852500,红外双色测温仪  HWSG-2,台班,27.94
200212852550,电器温升测量仪  WC-2,台班,21.43
200212852600,光导红外辐射温度计  WFH-65,台班,11.09
200212852650,便携红外辐射温度计  WFHX-63,台班,13.25
200212852700,温度分析测试仪  MRU,台班,56.31
200212852750,标准电阻温度计  Pt100,台班,5.71
200212852800,微电脑温度巡测仪  DWX-115/21,台班,14.86
200212852850,湿温度巡测记录仪  ZWS-C,台班,13.2
200212852900,多点湿温度测量仪  CT-1,台班,11.09
200212852950,湿度计  西尔,台班,19.8
200212853000,铂铑-铂热电偶  WRPB-Ⅰ,台班,5.46
200212853050,标准热电偶  铂铑-铂,台班,6.78
200212853100,精密铂铑-铂热电偶  WRR（P）,台班,8.73
200212853150,精密铂热电阻  WZR(P),台班,7.25
200212853200,热电偶管状检定炉  JGX-1,台班,13.25
200212853250,热电偶管状检定炉  WJL-34,台班,21.75
200212853300,多用热电偶校验器  1063,台班,32.62
200212853350,温度自动控制装置  DWK-702,台班,6.78
200212853400,管形电阻炉  φ60,台班,5.71
200212853450,温度检定炉(综合),台班,28.18
200212853500,记录仪  LN100 自动连续测量记录,台班,12.38
200212853550,记录仪  LN100 自动连续测量记录（双笔）,台班,10.67
200212853600,记录仪  PM8272,台班,71.59
200212853650,记录仪EASYGRAFTA  240,台班,201.84
200212853700,笔录仪  YWTD/-464,台班,17.12
200212853750,八笔记录仪  RT2108A,台班,633.28
200212853800,万能定入器  LALL03-A,台班,11.09
200212853850,单通道在线记录仪  8202-11,台班,34.56
200212853900,单通道在线记录仪  8201-11,台班,34.56
200212853950,双通道在线记录仪  8203-01,台班,41.88
200212854000,台式自动平衡记录仪  LM17系列,台班,8.51
200212854050,KMB显示记录仪  SXJ1001/20,台班,12.26
200212854100,中型长图数显记录仪  XJFA,台班,9.37
200212854150,A/D三通道记录仪  8710,台班,98.5
200212854200,存储分析记录仪  8832,台班,301.74
200212854250,24h温度记录仪  8001,台班,11.8
200212854300,小长图记录仪  LN-100,台班,19.02
200212854350,笔记本电脑  AST,台班,84.72
200212854400,万用RTD校验器  1074-02,台班,27.24
200212854450,热电偶批示校验器  1064P,台班,29.39
200212854500,便携式综合校验仪  EKO-9301,台班,8.13
200212854550,数字式电缆校对仪,台班,43.39
200212854600,过程信号个人校验器  1045-02,台班,17.72
200212854650,可编程函数频合成器  PM5193,台班,146.4
200212854700,综合校验仪  ID-01,台班,16.48
200212854750,综合校验仪  ZD-01,台班,14.58
200212854800,综合校验仪  D-063,台班,11.09
200212854850,综合校验仪  ID-02,台班,18.63
200212854900,综合校验仪  DFX-05,台班,8.13
200212854950,综合校验仪  DFX-06,台班,7.35
200212855000,综合校验仪  IDE141B,台班,12.13
200212855050,系统校验仪  2AT-CAL,台班,84.3
200212855100,便携式综合校验仪  2422,台班,30.47
200212855150,回路电流校验仪  334,台班,13.25
200212855200,三用表校验仪  D030-B,台班,30.47
200212855250,显示器  NW4810,台班,4.69
200212855300,显示器  NW4862,台班,6.52
200212855350,显示器  NW4863,台班,7.91
200212855400,四踪显示器  S27,台班,9.42
200212855450,八踪显示器  TS4861,台班,11.01
200212855500,双显多功能测试仪  F-45,台班,16.2
200212855550,大屏幕多功能显示器  QF4860,台班,12.22
200212855600,数字测控仪表  PN-4,台班,8.24
200212855650,恒温油浴  D6S,台班,8.94
200212855700,双显示多用表  FLVKE45,台班,17.55
200212855750,无润滑压缩机,台班,11.09
200212855800,红外成像仪  AGA-782SW,台班,1764.63
200212855850,多功能信号校验仪  PJN52105,台班,54.15
200212690800,环境噪声分析仪  HS6280A,台班,8.59
200212690850,积分声级计  AW5610,台班,5.36
200212690900,交通噪声显示器  ZY-Ⅱ,台班,125.91
200212690950,噪声振动统计分析仪  HE6250,台班,11.9
200212860050,超声波流量计  AJ854,台班,28.13
200212860100,抽油机井诊断仪  XZZD-C,台班,39.8
200212860150,抽油机井综合诊断仪  ZHCY-B,台班,63.12
200212860200,摧裂化程控自保系统  HCIS-1,台班,21.86
200212860250,电模拟位势分析仪  DW-3,台班,5.71
200212860300,毛细管吸入时间仪  CST,台班,4.82
200212860350,石油化工炉管超声波  KS-3000,台班,215.63
200212860400,数字通井测力仪  TCL-8Ⅱ,台班,9.03
200212860450,数字涂层测厚力仪F头  CTG-10,台班,26.35
200212860500,数字涂层测厚力仪N头  CTG-10,台班,28.49
200212860550,双声道测探仪  CS-A,台班,46.98
200212860600,烟气燃烧效率测试仪  1000PLUS,台班,70.12
200212860650,岩芯渗透率测试仪  ZCY-A,台班,15.59
200212860700,油罐自动切水器  HJQ-3,台班,6.6
200212860750,油井注汽双向计量器  JL-16,台班,45.18
200212860800,原油含水速测仪  HD-YHS,台班,5.99
200212860850,在线冰点分析仪  ZBD-G,台班,50.57
200212860900,在线反应自动分析仪  ZFY-A,台班,50.57
200212860950,在线油品调合系统  YT-B,台班,170.77
200212861000,智能示功仪  CY-611,台班,16.48
200212861050,油绝缘分析仪  BAHR,台班,81.07
200212861100,绝缘分析仪  1-5000,台班,202.96
